,place_id,place_name,stop_id,stop_name,stop_lat,stop_lon,place_brief_desc,place_longer_desc,place_image,place_tags,place_links,stop_id_x,stop_name_x,stop_desc_x,stop_lat_x,stop_lon_x,zone_id_x,stop_url_x,location_type_x,parent_station_x,place_id_x,place_name_x,trip_id,arrival_time_x,departure_time_x,stop_sequence_x,stop_headsign_x,pickup_type_x,drop_off_type_x,shape_dist_traveled_x,stop_id_y,stop_name_y,stop_desc_y,stop_lat_y,stop_lon_y,zone_id_y,stop_url_y,location_type_y,parent_station_y,place_id_y,place_name_y,arrival_time_y,departure_time_y,stop_sequence_y,stop_headsign_y,pickup_type_y,drop_off_type_y,shape_dist_traveled_y,duration
0,france_1,Futuroscope,StopPoint:OCEOUIGO-87324095,Futuroscope,46.669918,0.377209,"French theme park based upon multimedia, cinematographic, and audiovisual techniques.","French theme park based upon multimedia, cinematographic, and audiovisual techniques. It has several 3D cinemas and a few 4D cinemas along with other attractions and shows, some of which are the only examples in the world",../static/images/futuroscope.jpg,museum|science|kids,../static/places/futuroscope.html,StopPoint:OCEOUIGO-87547000,Paris Austerlitz,,48.840496,2.367079,,,0,StopArea:OCE87547000,france_19,Paris,OCESN4021F2638200:2023-10-09T00:43:50Z,06:52:00,06:52:00,0,,0,1,,StopPoint:OCEOUIGO-87324095,Futuroscope,,46.669918,0.377209,,,0,StopArea:OCE87324095,france_1,Futuroscope,10:10:00,10:13:00,4,,0,0,,198.0
1,france_1,Futuroscope,StopPoint:OCEOUIGO-87324095,Futuroscope,46.669918,0.377209,"French theme park based upon multimedia, cinematographic, and audiovisual techniques.","French theme park based upon multimedia, cinematographic, and audiovisual techniques. It has several 3D cinemas and a few 4D cinemas along with other attractions and shows, some of which are the only examples in the world",../static/images/futuroscope.jpg,museum|science|kids,../static/places/futuroscope.html,StopPoint:OCEOUIGO-87581009,Bordeaux Saint-Jean,,44.825823,-0.556012,,,0,StopArea:OCE87581009,france_24,Bordeaux,OCESN4022F2638201:2023-10-10T00:42:10Z,13:50:00,13:50:00,0,,0,1,,StopPoint:OCEOUIGO-87324095,Futuroscope,,46.669918,0.377209,,,0,StopArea:OCE87324095,france_1,Futuroscope,16:07:00,16:10:00,3,,0,0,,137.0
2,france_1,Futuroscope,StopPoint:OCEOUIGO-87324095,Futuroscope,46.669918,0.377209,"French theme park based upon multimedia, cinematographic, and audiovisual techniques.","French theme park based upon multimedia, cinematographic, and audiovisual techniques. It has several 3D cinemas and a few 4D cinemas along with other attractions and shows, some of which are the only examples in the world",../static/images/futuroscope.jpg,museum|science|kids,../static/places/futuroscope.html,StopPoint:OCEOUIGO-87547000,Paris Austerlitz,,48.840496,2.367079,,,0,StopArea:OCE87547000,france_19,Paris,OCESN4023F2638202:2023-10-10T00:42:10Z,07:19:00,07:19:00,0,,0,1,,StopPoint:OCEOUIGO-87324095,Futuroscope,,46.669918,0.377209,,,0,StopArea:OCE87324095,france_1,Futuroscope,10:22:00,10:24:00,4,,0,0,,183.0
3,france_1,Futuroscope,StopPoint:OCEOUIGO-87324095,Futuroscope,46.669918,0.377209,"French theme park based upon multimedia, cinematographic, and audiovisual techniques.","French theme park based upon multimedia, cinematographic, and audiovisual techniques. It has several 3D cinemas and a few 4D cinemas along with other attractions and shows, some of which are the only examples in the world",../static/images/futuroscope.jpg,museum|science|kids,../static/places/futuroscope.html,StopPoint:OCEOUIGO-87581009,Bordeaux Saint-Jean,,44.825823,-0.556012,,,0,StopArea:OCE87581009,france_24,Bordeaux,OCESN4024F2638203:2023-10-09T00:43:50Z,14:39:00,14:39:00,0,,0,1,,StopPoint:OCEOUIGO-87324095,Futuroscope,,46.669918,0.377209,,,0,StopArea:OCE87324095,france_1,Futuroscope,16:46:00,16:49:00,3,,0,0,,127.0
4,france_2,Versailles,StopPoint:OCEOUIGO-87393009,Versailles Chantiers,48.795649,2.135924,Home of the palace built by King Louis XIV,The Palace of Versailles is a former royal residence built by King Louis XIV,../static/images/versailles.jpg,museum|history|kids| culture,../static/places/versailles.html,StopPoint:OCEOUIGO-87394007,Chartres,,48.448628,1.481202,,,0,StopArea:OCE87394007,france_4,Chartres,OCESN4080F2148476:2023-04-24T00:48:34Z,10:11:00,10:14:00,3,,0,0,,StopPoint:OCEOUIGO-87393009,Versailles Chantiers,,48.795649,2.135924,,,0,StopArea:OCE87393009,france_2,Versailles Chantiers,10:53:00,10:56:00,4,,0,0,,39.0
5,france_2,Versailles,StopPoint:OCEOUIGO-87393009,Versailles Chantiers,48.795649,2.135924,Home of the palace built by King Louis XIV,The Palace of Versailles is a former royal residence built by King Louis XIV,../static/images/versailles.jpg,museum|history|kids| culture,../static/places/versailles.html,StopPoint:OCEOUIGO-87396002,Le Mans,,47.995217,0.192434,,,0,StopArea:OCE87396002,france_5,Le Mans,OCESN4080F2148476:2023-04-24T00:48:34Z,09:07:00,09:10:00,2,,0,0,,StopPoint:OCEOUIGO-87393009,Versailles Chantiers,,48.795649,2.135924,,,0,StopArea:OCE87393009,france_2,Versailles Chantiers,10:53:00,10:56:00,4,,0,0,,103.0
6,france_2,Versailles,StopPoint:OCEOUIGO-87393009,Versailles Chantiers,48.795649,2.135924,Home of the palace built by King Louis XIV,The Palace of Versailles is a former royal residence built by King Louis XIV,../static/images/versailles.jpg,museum|history|kids| culture,../static/places/versailles.html,StopPoint:OCEOUIGO-87394007,Chartres,,48.448628,1.481202,,,0,StopArea:OCE87394007,france_4,Chartres,OCESN4080F2279948:2023-05-22T00:50:30Z,10:11:00,10:14:00,3,,0,0,,StopPoint:OCEOUIGO-87393009,Versailles Chantiers,,48.795649,2.135924,,,0,StopArea:OCE87393009,france_2,Versailles Chantiers,10:53:00,10:56:00,4,,0,0,,39.0
7,france_2,Versailles,StopPoint:OCEOUIGO-87393009,Versailles Chantiers,48.795649,2.135924,Home of the palace built by King Louis XIV,The Palace of Versailles is a former royal residence built by King Louis XIV,../static/images/versailles.jpg,museum|history|kids| culture,../static/places/versailles.html,StopPoint:OCEOUIGO-87396002,Le Mans,,47.995217,0.192434,,,0,StopArea:OCE87396002,france_5,Le Mans,OCESN4080F2279948:2023-05-22T00:50:30Z,09:07:00,09:10:00,2,,0,0,,StopPoint:OCEOUIGO-87393009,Versailles Chantiers,,48.795649,2.135924,,,0,StopArea:OCE87393009,france_2,Versailles Chantiers,10:53:00,10:56:00,4,,0,0,,103.0
8,france_2,Versailles,StopPoint:OCEOUIGO-87393009,Versailles Chantiers,48.795649,2.135924,Home of the palace built by King Louis XIV,The Palace of Versailles is a former royal residence built by King Louis XIV,../static/images/versailles.jpg,museum|history|kids| culture,../static/places/versailles.html,StopPoint:OCEOUIGO-87394007,Chartres,,48.448628,1.481202,,,0,StopArea:OCE87394007,france_4,Chartres,OCESN4080F2298592:2023-05-30T00:42:56Z,10:08:00,10:11:00,3,,0,0,,StopPoint:OCEOUIGO-87393009,Versailles Chantiers,,48.795649,2.135924,,,0,StopArea:OCE87393009,france_2,Versailles Chantiers,10:54:00,10:57:00,4,,0,0,,43.0
9,france_2,Versailles,StopPoint:OCEOUIGO-87393009,Versailles Chantiers,48.795649,2.135924,Home of the palace built by King Louis XIV,The Palace of Versailles is a former royal residence built by King Louis XIV,../static/images/versailles.jpg,museum|history|kids| culture,../static/places/versailles.html,StopPoint:OCEOUIGO-87396002,Le Mans,,47.995217,0.192434,,,0,StopArea:OCE87396002,france_5,Le Mans,OCESN4080F2298592:2023-05-30T00:42:56Z,09:06:00,09:09:00,2,,0,0,,StopPoint:OCEOUIGO-87393009,Versailles Chantiers,,48.795649,2.135924,,,0,StopArea:OCE87393009,france_2,Versailles Chantiers,10:54:00,10:57:00,4,,0,0,,105.0
